epiweek,time_value,issue,geo_type,geo_value,hpiv_positive_tests,adv_positive_tests,hmpv_positive_tests,ev_rv_positive_tests,hcov_positive_tests,rsv_positive_tests
201942,2019-10-19,2020-07-03,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-07-03,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-07-03,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-07-03,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-07-03,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-07-03,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-07-03,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-07-03,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-07-03,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-07-03,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-07-03,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-07-03,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-07-03,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-07-03,nation,ca,102,85,172,239,135,1084
202004,2020-01-25,2020-07-03,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-07-03,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-07-03,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-07-03,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-07-03,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-07-03,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-07-03,nation,ca,68,101,409,569,198,1038
202011,2020-03-14,2020-07-03,nation,ca,100,105,459,770,308,1100
202012,2020-03-21,2020-07-03,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-07-03,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-07-03,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-07-03,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-07-03,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-07-03,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-07-03,nation,ca,9,59,21,144,38,40
202019,2020-05-09,2020-07-03,nation,ca,12,46,27,171,20,33
202020,2020-05-16,2020-07-03,nation,ca,12,51,15,130,12,17
202021,2020-05-23,2020-07-03,nation,ca,6,41,8,157,6,8
202022,2020-05-30,2020-07-03,nation,ca,8,37,5,143,12,5
202023,2020-06-06,2020-07-03,nation,ca,6,19,7,143,5,2
202024,2020-06-13,2020-07-03,nation,ca,6,22,9,160,6,6
202025,2020-06-20,2020-07-03,nation,ca,4,20,13,110,7,4
202026,2020-06-27,2020-07-03,nation,ca,3,14,2,119,7,3
201935,2019-08-31,2020-06-25,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-06-25,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-06-25,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-06-25,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-06-25,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-06-25,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-06-25,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-06-25,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-06-25,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-06-25,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-06-25,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-06-25,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-06-25,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-06-25,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-06-25,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-06-25,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-06-25,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-06-25,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-06-25,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-06-25,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-06-25,nation,ca,102,85,172,239,135,1084
202004,2020-01-25,2020-06-25,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-06-25,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-06-25,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-06-25,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-06-25,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-06-25,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-06-25,nation,ca,68,101,409,569,198,1038
202011,2020-03-14,2020-06-25,nation,ca,100,105,459,770,308,1100
202012,2020-03-21,2020-06-25,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-06-25,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-06-25,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-06-25,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-06-25,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-06-25,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-06-25,nation,ca,9,59,21,144,38,40
202019,2020-05-09,2020-06-25,nation,ca,12,46,27,171,20,33
202020,2020-05-16,2020-06-25,nation,ca,12,51,15,130,12,17
202021,2020-05-23,2020-06-25,nation,ca,6,41,8,157,6,8
202022,2020-05-30,2020-06-25,nation,ca,8,37,5,143,12,5
202023,2020-06-06,2020-06-25,nation,ca,6,19,7,143,5,2
202024,2020-06-13,2020-06-25,nation,ca,6,20,8,160,6,6
202025,2020-06-20,2020-06-25,nation,ca,2,12,3,93,2,3
201935,2019-08-31,2020-06-18,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-06-18,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-06-18,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-06-18,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-06-18,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-06-18,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-06-18,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-06-18,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-06-18,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-06-18,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-06-18,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-06-18,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-06-18,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-06-18,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-06-18,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-06-18,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-06-18,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-06-18,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-06-18,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-06-18,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-06-18,nation,ca,102,85,172,239,135,1084
202004,2020-01-25,2020-06-18,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-06-18,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-06-18,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-06-18,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-06-18,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-06-18,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-06-18,nation,ca,68,101,409,569,198,1038
202011,2020-03-14,2020-06-18,nation,ca,100,105,459,770,308,1100
202012,2020-03-21,2020-06-18,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-06-18,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-06-18,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-06-18,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-06-18,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-06-18,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-06-18,nation,ca,9,59,21,144,38,40
202019,2020-05-09,2020-06-18,nation,ca,12,46,27,171,20,33
202020,2020-05-16,2020-06-18,nation,ca,12,51,15,130,12,17
202021,2020-05-23,2020-06-18,nation,ca,6,41,8,157,6,8
202022,2020-05-30,2020-06-18,nation,ca,8,37,5,143,12,5
202023,2020-06-06,2020-06-18,nation,ca,6,19,6,143,5,2
202024,2020-06-13,2020-06-18,nation,ca,5,16,3,145,3,6
201935,2019-08-31,2020-06-11,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-06-11,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-06-11,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-06-11,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-06-11,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-06-11,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-06-11,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-06-11,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-06-11,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-06-11,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-06-11,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-06-11,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-06-11,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-06-11,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-06-11,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-06-11,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-06-11,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-06-11,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-06-11,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-06-11,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-06-11,nation,ca,102,85,172,239,135,1084
202004,2020-01-25,2020-06-11,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-06-11,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-06-11,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-06-11,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-06-11,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-06-11,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-06-11,nation,ca,68,101,409,569,198,1038
202011,2020-03-14,2020-06-11,nation,ca,100,105,459,770,308,1100
202012,2020-03-21,2020-06-11,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-06-11,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-06-11,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-06-11,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-06-11,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-06-11,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-06-11,nation,ca,9,59,21,144,38,40
202019,2020-05-09,2020-06-11,nation,ca,12,46,27,171,20,33
202020,2020-05-16,2020-06-11,nation,ca,12,51,15,130,12,17
202021,2020-05-23,2020-06-11,nation,ca,6,41,8,157,6,8
202022,2020-05-30,2020-06-11,nation,ca,8,37,5,143,10,5
202023,2020-06-06,2020-06-11,nation,ca,5,15,6,120,4,2
201935,2019-08-31,2020-06-04,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-06-04,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-06-04,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-06-04,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-06-04,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-06-04,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-06-04,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-06-04,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-06-04,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-06-04,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-06-04,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-06-04,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-06-04,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-06-04,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-06-04,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-06-04,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-06-04,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-06-04,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-06-04,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-06-04,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-06-04,nation,ca,102,85,172,239,135,1084
202004,2020-01-25,2020-06-04,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-06-04,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-06-04,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-06-04,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-06-04,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-06-04,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-06-04,nation,ca,68,101,409,569,198,1038
202011,2020-03-14,2020-06-04,nation,ca,100,105,459,770,308,1100
202012,2020-03-21,2020-06-04,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-06-04,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-06-04,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-06-04,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-06-04,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-06-04,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-06-04,nation,ca,9,59,21,144,38,40
202019,2020-05-09,2020-06-04,nation,ca,12,46,27,171,20,33
202020,2020-05-16,2020-06-04,nation,ca,12,51,15,130,12,17
202021,2020-05-23,2020-06-04,nation,ca,6,41,8,157,7,8
202022,2020-05-30,2020-06-04,nation,ca,8,37,2,139,11,5
201935,2019-08-31,2020-05-28,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-05-28,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-05-28,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-05-28,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-05-28,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-05-28,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-05-28,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-05-28,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-05-28,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-05-28,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-05-28,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-05-28,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-05-28,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-05-28,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-05-28,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-05-28,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-05-28,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-05-28,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-05-28,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-05-28,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-05-28,nation,ca,102,85,172,239,135,1085
202004,2020-01-25,2020-05-28,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-05-28,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-05-28,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-05-28,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-05-28,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-05-28,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-05-28,nation,ca,68,101,409,569,198,1 039
202011,2020-03-14,2020-05-28,nation,ca,100,105,459,770,308,1 101
202012,2020-03-21,2020-05-28,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-05-28,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-05-28,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-05-28,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-05-28,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-05-28,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-05-28,nation,ca,9,59,21,144,38,40
202019,2020-05-09,2020-05-28,nation,ca,12,46,27,171,20,33
202020,2020-05-16,2020-05-28,nation,ca,12,51,15,130,12,17
202021,2020-05-23,2020-05-28,nation,ca,6,40,8,155,6,8
201935,2019-08-31,2020-05-21,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-05-21,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-05-21,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-05-21,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-05-21,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-05-21,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-05-21,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-05-21,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-05-21,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-05-21,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-05-21,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-05-21,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-05-21,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-05-21,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-05-21,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-05-21,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-05-21,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-05-21,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-05-21,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-05-21,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-05-21,nation,ca,102,85,172,239,135,1085
202004,2020-01-25,2020-05-21,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-05-21,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-05-21,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-05-21,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-05-21,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-05-21,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-05-21,nation,ca,68,101,409,569,198,1 039
202011,2020-03-14,2020-05-21,nation,ca,100,105,459,770,308,1 101
202012,2020-03-21,2020-05-21,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-05-21,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-05-21,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-05-21,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-05-21,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-05-21,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-05-21,nation,ca,9,59,21,144,38,40
202019,2020-05-09,2020-05-21,nation,ca,12,45,27,169,20,33
202020,2020-05-16,2020-05-21,nation,ca,12,49,15,128,11,17
201935,2019-08-31,2020-05-14,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-05-14,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-05-14,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-05-14,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-05-14,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-05-14,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-05-14,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-05-14,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-05-14,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-05-14,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-05-14,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-05-14,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-05-14,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-05-14,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-05-14,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-05-14,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-05-14,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-05-14,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-05-14,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-05-14,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-05-14,nation,ca,102,85,172,239,135,1085
202004,2020-01-25,2020-05-14,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-05-14,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-05-14,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-05-14,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-05-14,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-05-14,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-05-14,nation,ca,68,101,409,569,198,1 039
202011,2020-03-14,2020-05-14,nation,ca,100,105,459,770,308,1 101
202012,2020-03-21,2020-05-14,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-05-14,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-05-14,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-05-14,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-05-14,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-05-14,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-05-14,nation,ca,9,59,21,144,38,40
202019,2020-05-09,2020-05-14,nation,ca,12,45,23,165,20,32
201935,2019-08-31,2020-05-07,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-05-07,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-05-07,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-05-07,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-05-07,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-05-07,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-05-07,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-05-07,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-05-07,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-05-07,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-05-07,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-05-07,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-05-07,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-05-07,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-05-07,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-05-07,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-05-07,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-05-07,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-05-07,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-05-07,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-05-07,nation,ca,102,85,172,239,135,1085
202004,2020-01-25,2020-05-07,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-05-07,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-05-07,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-05-07,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-05-07,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-05-07,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-05-07,nation,ca,68,101,409,569,198,1 039
202011,2020-03-14,2020-05-07,nation,ca,100,105,459,770,308,1 101
202012,2020-03-21,2020-05-07,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-05-07,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-05-07,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-05-07,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-05-07,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-05-07,nation,ca,17,53,40,227,43,51
202018,2020-05-02,2020-05-07,nation,ca,8,57,17,136,34,40
201935,2019-08-31,2020-05-01,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-05-01,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-05-01,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-05-01,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-05-01,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-05-01,nation,ca,63,50,9,528,4,23
201941,2019-10-12,2020-05-01,nation,ca,55,35,25,455,4,30
201942,2019-10-19,2020-05-01,nation,ca,84,63,10,440,6,35
201943,2019-10-26,2020-05-01,nation,ca,91,57,15,416,8,42
201944,2019-11-02,2020-05-01,nation,ca,86,70,9,318,11,64
201945,2019-11-09,2020-05-01,nation,ca,105,84,31,439,16,105
201946,2019-11-16,2020-05-01,nation,ca,118,73,25,414,18,121
201947,2019-11-23,2020-05-01,nation,ca,115,69,35,444,17,221
201948,2019-11-30,2020-05-01,nation,ca,102,81,41,379,22,361
201949,2019-12-07,2020-05-01,nation,ca,112,116,59,393,49,501
201950,2019-12-14,2020-05-01,nation,ca,111,116,56,305,55,519
201951,2019-12-21,2020-05-01,nation,ca,134,105,143,367,88,905
201952,2019-12-28,2020-05-01,nation,ca,125,82,135,321,107,1037
202001,2020-01-04,2020-05-01,nation,ca,113,94,201,367,128,1313
202002,2020-01-11,2020-05-01,nation,ca,156,106,208,357,116,1230
202003,2020-01-18,2020-05-01,nation,ca,102,85,172,239,135,1085
202004,2020-01-25,2020-05-01,nation,ca,104,91,168,237,121,1260
202005,2020-02-01,2020-05-01,nation,ca,81,82,179,302,156,1322
202006,2020-02-08,2020-05-01,nation,ca,82,92,197,292,128,1289
202007,2020-02-15,2020-05-01,nation,ca,59,79,196,277,122,1138
202008,2020-02-22,2020-05-01,nation,ca,70,83,226,309,147,1053
202009,2020-02-29,2020-05-01,nation,ca,52,59,274,407,137,991
202010,2020-03-07,2020-05-01,nation,ca,68,101,409,569,198,1 039
202011,2020-03-14,2020-05-01,nation,ca,100,105,459,770,308,1 101
202012,2020-03-21,2020-05-01,nation,ca,96,116,496,667,247,703
202013,2020-03-28,2020-05-01,nation,ca,57,76,396,519,195,542
202014,2020-04-04,2020-05-01,nation,ca,48,50,321,347,123,417
202015,2020-04-11,2020-05-01,nation,ca,33,55,174,345,111,156
202016,2020-04-18,2020-05-01,nation,ca,30,71,109,307,79,82
202017,2020-04-25,2020-05-01,nation,ca,16,52,39,223,38,48
201935,2019-08-31,2020-04-23,nation,ca,16,24,2,221,5,8
201936,2019-09-07,2020-04-23,nation,ca,22,23,12,244,3,8
201937,2019-09-14,2020-04-23,nation,ca,32,30,5,316,3,8
201938,2019-09-21,2020-04-23,nation,ca,40,39,28,421,1,11
201939,2019-09-28,2020-04-23,nation,ca,40,53,6,516,3,18
201940,2019-10-05,2020-04-23,nation,ca,63,50,9,528,4,23
